# these were not split in pavan and meghan's force field
t117 [#6X3:1]-@[#16X3+1:2]-@[#6X3;r5:3]=@[#6,#7;r5:4]
t117 [#6X3:1]-@[#16X3+1:2]-@[#7X2;r5:3]=@[#6,#7;r5:4]

# DONE
t131 [#1:1]-[#7X4:2]-[#7X4:3]-[#1:4]
t131 [#1:1]-[#7X4:2]-[#7X3:3]-[#1:4]
t131 [#1:1]-[#7X3:2]-[#7X4:3]-[#1:4]
t131 [#1:1]-[#7X3:2]-[#7X3:3]-[#1:4]

# DONE
t134 [*:1]-[#7X4:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]
t134 [*:1]-[#7X3:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]

# DONE
t144 [#6X4:1]-[#16X4:2]-[#7X4:3]-[#1:4]
t144 [#6X4:1]-[#16X4:2]-[#7X3:3]-[#1:4]
t144 [#6X4:1]-[#16X3+0:2]-[#7X4:3]-[#1:4]
t144 [#6X4:1]-[#16X3+0:2]-[#7X3:3]-[#1:4]

# DONE
t145 [#6X3:1]-[#16X4:2]-[#7X4:3]-[#1:4]
t145 [#6X3:1]-[#16X4:2]-[#7X3:3]-[#1:4]
t145 [#6X3:1]-[#16X3+0:2]-[#7X4:3]-[#1:4]
t145 [#6X3:1]-[#16X3+0:2]-[#7X3:3]-[#1:4]

# DONE
t146 [#6X4:1]-[#16X4:2]-[#7X4:3]-[#6X4:4]
t146 [#6X4:1]-[#16X4:2]-[#7X3:3]-[#6X4:4]
t146 [#6X4:1]-[#16X3+0:2]-[#7X4:3]-[#6X4:4]
t146 [#6X4:1]-[#16X3+0:2]-[#7X3:3]-[#6X4:4]

# DONE
t147 [#6X3:1]-[#16X4:2]-[#7X4:3]-[#6X4:4]
t147 [#6X3:1]-[#16X4:2]-[#7X3:3]-[#6X4:4]
t147 [#6X3:1]-[#16X3+0:2]-[#7X4:3]-[#6X4:4]
t147 [#6X3:1]-[#16X3+0:2]-[#7X3:3]-[#6X4:4]

# DONE
t148 [#8X1:1]~[#16X4:2]-[#7X4:3]-[#1:4]
t148 [#8X1:1]~[#16X4:2]-[#7X3:3]-[#1:4]
t148 [#8X1:1]~[#16X3+0:2]-[#7X4:3]-[#1:4]
t148 [#8X1:1]~[#16X3+0:2]-[#7X3:3]-[#1:4]

# DONE
t149 [#8X1:1]~[#16X4:2]-[#7X4:3]-[#6X4:4]
t149 [#8X1:1]~[#16X4:2]-[#7X3:3]-[#6X4:4]
t149 [#8X1:1]~[#16X3+0:2]-[#7X4:3]-[#6X4:4]
t149 [#8X1:1]~[#16X3+0:2]-[#7X3:3]-[#6X4:4]

# DONE
t150 [#6X3:1]-[#16X4:2]-[#7X3:3]-[#6X3:4]
t150 [#6X3:1]-[#16X3+0:2]-[#7X3:3]-[#6X3:4]

# DONE
t151 [#6X4:1]-[#16X4:2]-[#7X3:3]-[#6X3:4]
t151 [#6X4:1]-[#16X3+0:2]-[#7X3:3]-[#6X3:4]

# DONE
t152 [#8X1:1]~[#16X4:2]-[#7X3:3]-[#6X3:4]
t152 [#8X1:1]~[#16X3+0:2]-[#7X3:3]-[#6X3:4]

# DONE
t153 [#8X1:1]~[#16X4:2]-[#7X3:3]-[#7X2:4]
t153 [#8X1:1]~[#16X3+0:2]-[#7X3:3]-[#7X2:4]

# DONE
t154 [*:1]~[#16X4:2]=,:[#7X2:3]-,:[*:4]
t154 [*:1]~[#16X3+0:2]=,:[#7X2:3]-,:[*:4]

# DONE
t155 [#6X4:1]-[#16X4:2]-[#7X2:3]~[#6X3:4]
t155 [#6X4:1]-[#16X3+0:2]-[#7X2:3]~[#6X3:4]

# DONE
t156 [#8X1:1]~[#16X4:2]-[#7X2:3]~[#6X3:4]
t156 [#8X1:1]~[#16X3+0:2]-[#7X2:3]~[#6X3:4]

# DONE
t158 [*:1]-[#16X2:2]-[#16X2:3]-[*:4]
t158 [*:1]-[#16X2:2]-[#16X3+1:3]-[*:4]
t158 [*:1]-[#16X3+1:2]-[#16X2:3]-[*:4]
t158 [*:1]-[#16X3+1:2]-[#16X3+1:3]-[*:4]
