checking coverage with
forcefield = 04_fit-forcefield/fb-fit/forcefield/force-field.offxml
dataset = 02_curate-data/datasets/combined-td.json
finished loading collection after 0.3 s
finished to_records after 0.3 s
finished counting results after 37.7 s
205 / 225 (91.1%) tors ids covered:
t33     21   19   [#7X3:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t34     38   19   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t35    152   53   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r6:3]:[#6X3;r6:4]
t36     82   41   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r5:3]-;@[#6X3;r5:4]
t37     28   14   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r5:3]=;@[#6X3;r5:4]
t38     42   21   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]-[#6X4:4]
t39     72   33   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r6:3]:[#7X2;r6:4]
t40     92   46   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]=[#7X2:4]
t41     74   36   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]-[#8X2:4]
t42     98   49   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]=[#8X1:4]
t42a    52   13   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t43    758  156   [*:1]~[#6X3:2]-[#6X3:3]~[*:4]
t44  14200  526   [*:1]~[#6X3:2]:[#6X3:3]~[*:4]
t45   2112  414   [*:1]-,:[#6X3:2]=[#6X3:3]-,:[*:4]
t46     96   73   [#6X4:1]-[#6X3:2]=[#6X3:3]-[#6X4:4]
t47   1161  284   [*:1]~[#6X3:2]-[#6X3$(*=[#8,#16,#7]):3]~[*:4]
t48     89   85   [#6X3:1]=[#6X3:2]-[#6X3:3]=[#8X1:4]
t48a     2    1   [#6X3:1]=[#6X3:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t49     36    9   [*:1]~[#7a:2]:[#6a:3]~[*:4]
t50    672   34   [*:1]-[#6X4:2]-[#7X4:3]-[*:4]
t51   2715  263   [*:1]~[#6X4:2]-[#7X3:3]~[*:4]
t52     26    9   [*:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#6]
t53     22    9   [#1:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#6]
t54     15   10   [*:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#7X2,#8X1]
t55     51   12   [#1:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#7X2,#8X1]
t56     32    8   [*:1]-[#6X4:2]-[#7X3$(*@1-[*]=,:[*][*]=,:[*]@1):3]-[*:4]
t57     22    5   [#1:1]-[#6X4:2]-[#7X3$(*@1-[*]=,:[*][*]=,:[*]@1):3]-[*:4]
t58g    39   16   [#6X4:1]-[#6X4:2]-[#7X4:3]-[#6X4:4]
t58h   369  111   [#6X4:1]-[#6X4:2]-[#7X3:3]-[#6X4:4]
t59g     0    0   [#1:1]-[#7X4:2]-[#6X4;r3:3]-[*:4]
t59h    55   37   [#1:1]-[#7X3:2]-[#6X4;r3:3]-[*:4]
t60g     0    0   [#1:1]-[#7X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
t60h   110   37   [#1:1]-[#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t61g     0    0   [!#1:1]-[#7X4:2]-[#6X4;r3:3]-[*:4]
t61h    23   20   [!#1:1]-[#7X3:2]-[#6X4;r3:3]-[*:4]
t62g     0    0   [!#1:1]-[#7X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
t62h    46   20   [!#1:1]-[#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t63     60   10   [*:1]-[#7X4:2]-[#6X3:3]~[*:4]
t64   2634  336   [*:1]-[#6X4:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]
t65     54   11   [*:1]-[#6X4:2]-[#7X3$(*~[#8X1]):3]~[#8X1:4]
t66    113   91   [#6X3:1]-[#7X3:2]-[#6X4:3]-[#6X3:4]
t67    289  140   [#6X4:1]-[#6X4:2]-[#7X3:3]-[#6X3:4]=[#8,#16,#7]
t68     11    9   [#8X2H0:1]-[#6X4:2]-[#7X3:3]-[#6X3:4]
t69     70   28   [#6X3:1]-[#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t70     49   26   [*:1]~[#7X2:2]-[#6X4:3]-[*:4]
t71g    90   47   [#6X3:1]=[#7X2:2]-[#6X4:3]-[#1:4]
t71h    35   10   [#6X3:1]=[#7X3+1:2]-[#6X4:3]-[#1:4]
t72g    50   42   [#6X3:1]=[#7X2:2]-[#6X4:3]-[#6X3,#6X4:4]
t72h     4    4   [#6X3:1]=[#7X3+1:2]-[#6X4:3]-[#6X3,#6X4:4]
t73g   412   85   [*:1]~[#7X3:2]-[#6X3:3]~[*:4]
t73h    13   11   [*:1]~[#7X2-1:2]-[#6X3:3]~[*:4]
t74g   464   99   [*:1]~[#7X3:2]-!@[#6X3:3]~[*:4]
t74h    22   10   [*:1]~[#7X2-1:2]-!@[#6X3:3]~[*:4]
t75   1099  334   [*:1]-[#7X3:2]-[#6X3$(*=[#8,#16,#7]):3]~[*:4]
t76    113   93   [#1:1]-[#7X3:2]-[#6X3:3]=[#8,#16,#7:4]
t77    221  158   [*:1]-[#7X3:2]-!@[#6X3:3](=[#8,#16,#7:4])-[#6,#1]
t78    143  123   [#1:1]-[#7X3:2]-!@[#6X3:3](=[#8,#16,#7:4])-[#6,#1]
t79    112   30   [*:1]-[#7X3:2]-!@[#6X3:3](=[#8,#16,#7:4])-[#7X3]
t80   1202  180   [*:1]-[#7X3;r5:2]-@[#6X3;r5:3]~[*:4]
t81      2    1   [#8X1:1]~[#7X3:2]~[#6X3:3]~[*:4]
t82g   172  160   [*:1]=[#7X2:2]-[#6X3:3]-[*:4]
t82h    10   10   [*:1]=[#7X3+1:2]-[#6X3:3]-[*:4]
t82a    22   11   [*:1]-[#6X3:2]-[#7X3:3](~[#8X1])~[#8X1:4]
t83g   185  159   [*:1]=[#7X2:2]-[#6X3:3]=,:[*:4]
t83h    14   12   [*:1]=[#7X3+1:2]-[#6X3:3]=,:[*:4]
t83a    90   28   [*:1]=,:[#6X3:2]-[#7X3:3](~[#8X1])~[#8X1:4]
t84    506  150   [*:1]~[#7X2,#7X3$(*~[#8X1]):2]:[#6X3:3]~[*:4]
t85    278  128   [#6X3:1]:[#7X2:2]:[#6X3:3]:[#6X3:4]
t86    788  365   [*:1]-,:[#6X3:2]=[#7X2:3]-[*:4]
t87    120   30   [*:1]-[#7X3+1:2]=,:[#6X3:3]-,:[*:4]
t87a     0    0   [*:1]-[#7X3:2]~!@[#6X3:3](~!@[#7X3])~!@[#7X3:4]
t88      7    7   [#16X4,#16X3+0:1]-[#7X2:2]=[#6X3:3]-[#7X3:4]
t89      1    1   [#16X4,#16X3+0:1]-[#7X2:2]=[#6X3:3]-[#16X2,#16X3+1:4]
