checking coverage with
forcefield = 04_fit-forcefield/fb-fit/forcefield/force-field.offxml
dataset = 02_curate-data/sage/td.json
finished loading collection after 0.3 s
finished to_records after 2.1 s
finished counting results after 34.3 s
181 / 210 (86.2%) tors ids covered:
t63     54   [*:1]-[#7X4:2]-[#6X3:3]~[*:4]
t64   2589   [*:1]-[#6X4:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]
t65     54   [*:1]-[#6X4:2]-[#7X3$(*~[#8X1]):3]~[#8X1:4]
t66    113   [#6X3:1]-[#7X3:2]-[#6X4:3]-[#6X3:4]
t67    286   [#6X4:1]-[#6X4:2]-[#7X3:3]-[#6X3:4]=[#8,#16,#7]
t68     11   [#8X2H0:1]-[#6X4:2]-[#7X3:3]-[#6X3:4]
t69     70   [#6X3:1]-[#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t70     43   [*:1]~[#7X2:2]-[#6X4:3]-[*:4]
t71    131   [#6X3:1]=[#7X2,#7X3+1:2]-[#6X4:3]-[#1:4]
t72     54   [#6X3:1]=[#7X2,#7X3+1:2]-[#6X4:3]-[#6X3,#6X4:4]
t73x   408   [*:1]~[#7X3:2]-[#6X3:3]~[*:4]
t73a    13   [*:1]~[#7X2-1:2]-[#6X3:3]~[*:4]
t74x   424   [*:1]~[#7X3:2]-!@[#6X3:3]~[*:4]
t74a    10   [*:1]~[#7X2-1:2]-!@[#6X3:3]~[*:4]
t75   1080   [*:1]-[#7X3:2]-[#6X3$(*=[#8,#16,#7]):3]~[*:4]
t76    110   [#1:1]-[#7X3:2]-[#6X3:3]=[#8,#16,#7:4]
t77    220   [*:1]-[#7X3:2]-!@[#6X3:3](=[#8,#16,#7:4])-[#6,#1]
t78    140   [#1:1]-[#7X3:2]-!@[#6X3:3](=[#8,#16,#7:4])-[#6,#1]
t79    110   [*:1]-[#7X3:2]-!@[#6X3:3](=[#8,#16,#7:4])-[#7X3]
t80   1162   [*:1]-[#7X3;r5:2]-@[#6X3;r5:3]~[*:4]
t81     64   [#8X1:1]~[#7X3:2]~[#6X3:3]~[*:4]
t82x   172   [*:1]=[#7X2:2]-[#6X3:3]-[*:4]
t82ax   21   [*:1]=[#7X3+1:2]-[#6X3:3]-[*:4]
t83x   181   [*:1]=[#7X2:2]-[#6X3:3]=,:[*:4]
t83ax   53   [*:1]=[#7X3+1:2]-[#6X3:3]=,:[*:4]
t84    504   [*:1]~[#7X2,#7X3$(*~[#8X1]):2]:[#6X3:3]~[*:4]
t85    276   [#6X3:1]:[#7X2:2]:[#6X3:3]:[#6X3:4]
t86    774   [*:1]-,:[#6X3:2]=[#7X2:3]-[*:4]
t87    124   [*:1]-[#7X3+1:2]=,:[#6X3:3]-,:[*:4]
t87a     0   [*:1]-[#7X3:2]~!@[#6X3:3](~!@[#7X3])~!@[#7X3:4]
t88      3   [#16X4,#16X3+0:1]-[#7X2:2]=[#6X3:3]-[#7X3:4]
t89      1   [#16X4,#16X3+0:1]-[#7X2:2]=[#6X3:3]-[#16X2,#16X3+1:4]
t90     72   [#7X2:1]~[#7X2:2]-[#6X3:3]~[#6X3:4]
t91     13   [#7X2:1]~[#7X2:2]-[#6X4:3]-[#6X3:4]
t92     23   [#7X2:1]~[#7X2:2]-[#6X4:3]~[#1:4]
t93    170   [*:1]-[#6X4:2]-[#8X2:3]-[#1:4]
t94     90   [#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4]
t95   1272   [*:1]-[#6X4:2]-[#8X2H0:3]-[*:4]
